commit	val_bpb	memory_gb	status	description
ba6ebf6	1.446608	21.2	keep	baseline (depth=4, batch=2^16, matrix_lr=0.04)
aedf01d	1.731215	23.9	discard	increase depth from 4 to 6 (too few steps: 292 vs 629)
83d3411	1.529392	21.2	discard	increase device batch size from 16 to 32 (no grad accum)
ccaa803	1.352339	21.2	keep	halve total batch size to 2^15 (1265 steps)
